,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,maximum_time_without_eat,Wolves,Sheep
91,45,4,10,20,20,0.04,0.05,20,True,30,4,150,150,100,201,7
92,46,5,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
93,46,5,10,20,20,0.04,0.05,20,True,30,4,50,100,100,127,6
94,47,5,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
95,47,5,10,20,20,0.04,0.05,20,True,30,4,100,50,100,70,23
96,48,5,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
97,48,5,10,20,20,0.04,0.05,20,True,30,4,50,150,100,176,0
98,49,5,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
99,49,5,10,20,20,0.04,0.05,20,True,30,4,100,100,100,127,8
100,50,5,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
101,50,5,10,20,20,0.04,0.05,20,True,30,4,100,150,100,182,3
102,51,5,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
103,51,5,10,20,20,0.04,0.05,20,True,30,4,150,50,100,74,24
104,52,5,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
105,52,5,10,20,20,0.04,0.05,20,True,30,4,150,100,100,139,11
106,53,6,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
107,53,6,10,20,20,0.04,0.05,20,True,30,4,50,50,100,63,17
108,54,6,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
109,54,6,10,20,20,0.04,0.05,20,True,30,4,50,100,100,108,8
110,55,5,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
111,55,5,10,20,20,0.04,0.05,20,True,30,4,150,150,100,189,3
112,56,6,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
113,56,6,10,20,20,0.04,0.05,20,True,30,4,100,50,100,83,22
114,57,6,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
115,57,6,10,20,20,0.04,0.05,20,True,30,4,50,150,100,166,0
116,58,6,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
117,58,6,10,20,20,0.04,0.05,20,True,30,4,100,100,100,135,7
118,59,6,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
119,59,6,10,20,20,0.04,0.05,20,True,30,4,150,50,100,62,25
120,60,6,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
121,60,6,10,20,20,0.04,0.05,20,True,30,4,100,150,100,197,4
122,61,6,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
123,61,6,10,20,20,0.04,0.05,20,True,30,4,150,100,100,126,10
124,62,7,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
125,62,7,10,20,20,0.04,0.05,20,True,30,4,50,50,100,62,21
126,63,7,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
127,63,7,10,20,20,0.04,0.05,20,True,30,4,50,100,100,117,7
128,64,6,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
129,64,6,10,20,20,0.04,0.05,20,True,30,4,150,150,100,200,3
130,65,7,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
131,65,7,10,20,20,0.04,0.05,20,True,30,4,100,50,100,62,17
132,66,7,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
133,66,7,10,20,20,0.04,0.05,20,True,30,4,50,150,100,173,2
134,67,7,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
135,67,7,10,20,20,0.04,0.05,20,True,30,4,100,100,100,136,9
136,68,7,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
137,68,7,10,20,20,0.04,0.05,20,True,30,4,100,150,100,184,3
138,69,7,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
139,69,7,10,20,20,0.04,0.05,20,True,30,4,150,50,100,72,21
140,70,8,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
141,70,8,10,20,20,0.04,0.05,20,True,30,4,50,50,100,79,23
142,71,8,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
143,71,8,10,20,20,0.04,0.05,20,True,30,4,50,100,100,119,3
144,72,7,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
145,72,7,10,20,20,0.04,0.05,20,True,30,4,150,100,100,156,6
